8.5180 	EXP 	New trial (rep=0, index=5): OrderedDict([('stimuli', 'T'), ('trial_type', 'non-target'), ('stimulus_onset', 8.0), ('block_type', '0-back'), ('stimulus_size', 0.3), ('stimulus_duration', 2.8), ('cor_res', 'right')])
8.5416 	EXP 	Stimuli: autoDraw = False
8.5416 	EXP 	Stimuli: autoDraw = False
8.5416 	EXP 	Stimuli: height = 0.1
8.5416 	EXP 	Stimuli: height = 0.1
8.5416 	EXP 	Stimuli: height = 0.1
8.5416 	EXP 	Stimuli: text = 'T'
8.5416 	EXP 	Stimuli: height = 0.3
8.5416 	EXP 	Stimuli: autoDraw = True
8.5416 	EXP 	Stimuli: height = 0.3
8.5416 	EXP 	Stimuli: height = 0.3
8.5416 	EXP 	Stimuli: height = 0.3
8.5416 	EXP 	Stimuli: text = 'T'
11.3321 	EXP 	New trial (rep=0, index=6): OrderedDict([('stimuli', '+'), ('trial_type', 'fixation'), ('stimulus_onset', 10.8), ('block_type', '0-back'), ('stimulus_size', 0.1), ('stimulus_duration', 0.2), ('cor_res', None)])
11.3541 	EXP 	Stimuli: autoDraw = False
11.3541 	EXP 	Stimuli: autoDraw = False
11.3541 	EXP 	Stimuli: height = 0.3
11.3541 	EXP 	Stimuli: height = 0.3
11.3541 	EXP 	Stimuli: height = 0.3
11.3541 	EXP 	Stimuli: text = '+'
11.3541 	EXP 	Stimuli: height = 0.1
11.3541 	EXP 	Stimuli: autoDraw = True
11.3541 	EXP 	Stimuli: height = 0.1
11.3541 	EXP 	Stimuli: height = 0.1
11.3541 	EXP 	Stimuli: height = 0.1
11.3541 	EXP 	Stimuli: text = '+'
11.5486 	EXP 	New trial (rep=0, index=7): OrderedDict([('stimuli', 'X'), ('trial_type', 'target'), ('stimulus_onset', 11.0), ('block_type', '0-back'), ('stimulus_size', 0.3), ('stimulus_duration', 2.8), ('cor_res', 'left')])
11.5722 	EXP 	Stimuli: autoDraw = False
11.5722 	EXP 	Stimuli: autoDraw = False
11.5722 	EXP 	Stimuli: height = 0.1
11.5722 	EXP 	Stimuli: height = 0.1
11.5722 	EXP 	Stimuli: height = 0.1
11.5722 	EXP 	Stimuli: text = 'X'
11.5722 	EXP 	Stimuli: height = 0.3
11.5722 	EXP 	Stimuli: autoDraw = True
11.5722 	EXP 	Stimuli: height = 0.3
11.5722 	EXP 	Stimuli: height = 0.3
11.5722 	EXP 	Stimuli: height = 0.3
11.5722 	EXP 	Stimuli: text = 'X'
14.3637 	EXP 	New trial (rep=0, index=8): OrderedDict([('stimuli', '+'), ('trial_type', 'fixation'), ('stimulus_onset', 13.8), ('block_type', '0-back'), ('stimulus_size', 0.1), ('stimulus_duration', 0.2), ('cor_res', None)])
14.3867 	EXP 	Stimuli: autoDraw = False
14.3867 	EXP 	Stimuli: autoDraw = False
14.3867 	EXP 	Stimuli: height = 0.3
14.3867 	EXP 	Stimuli: height = 0.3
14.3867 	EXP 	Stimuli: height = 0.3
14.3867 	EXP 	Stimuli: text = '+'
14.3867 	EXP 	Stimuli: height = 0.1
14.3867 	EXP 	Stimuli: autoDraw = True
14.3867 	EXP 	Stimuli: height = 0.1
14.3867 	EXP 	Stimuli: height = 0.1
14.3867 	EXP 	Stimuli: height = 0.1
14.3867 	EXP 	Stimuli: text = '+'
14.5798 	EXP 	New trial (rep=0, index=9): OrderedDict([('stimuli', 'Q'), ('trial_type', 'non-target'), ('stimulus_onset', 14.0), ('block_type', '0-back'), ('stimulus_size', 0.3), ('stimulus_duration', 2.8), ('cor_res', 'right')])
