stimuli,trial_type,stimulus_onset,block_type,stimulus_size,stimulus_duration,cor_res,experiment.thisRepN,experiment.thisTrialN,experiment.thisN,experiment.thisIndex,thisRow.t,notes,trial.started,Stimuli.started,Stimuli.stopped,trial.stopped,participant,session,date,expName,psychopyVersion,frameRate,expStart,
+,fixation,16.8,0-back,0.05,0.2,None,0,10,10,10,17.340389013290405,,17.31763195991516,17.340389013290405,17.556097984313965,17.533404111862183,924647,001,2024-04-15_14h25.21.160,run_experiment,2023.2.3,59.973204187238956,2024-04-15 14h25.37.829144 +0200,
X,target,17.0,0-back,0.15,2.8,left,0,11,11,11,17.556097984313965,,17.534303188323975,17.556097984313965,20.372472047805786,20.34780716896057,924647,001,2024-04-15_14h25.21.160,run_experiment,2023.2.3,59.973204187238956,2024-04-15 14h25.37.829144 +0200,
+,fixation,19.8,0-back,0.05,0.2,None,0,12,12,12,20.372472047805786,,20.34889507293701,20.372472047805786,20.586384057998657,20.56401801109314,924647,001,2024-04-15_14h25.21.160,run_experiment,2023.2.3,59.973204187238956,2024-04-15 14h25.37.829144 +0200,
H,non-target,20.0,0-back,0.15,2.8,right,0,13,13,13,20.586384057998657,,20.564938068389893,20.586384057998657,23.40318202972412,23.378695011138916,924647,001,2024-04-15_14h25.21.160,run_experiment,2023.2.3,59.973204187238956,2024-04-15 14h25.37.829144 +0200,
+,fixation,22.8,0-back,0.05,0.2,None,0,14,14,14,23.40318202972412,,23.37957000732422,23.40318202972412,23.618178129196167,23.595309019088745,924647,001,2024-04-15_14h25.21.160,run_experiment,2023.2.3,59.973204187238956,2024-04-15 14h25.37.829144 +0200,
E,non-target,23.0,0-back,0.15,2.8,right,0,15,15,15,23.618178129196167,,23.596194982528687,23.618178129196167,26.4294331073761,26.40647315979004,924647,001,2024-04-15_14h25.21.160,run_experiment,2023.2.3,59.973204187238956,2024-04-15 14h25.37.829144 +0200,
+,fixation,25.8,0-back,0.05,0.2,None,0,16,16,16,26.4294331073761,,26.407292127609253,26.4294331073761,26.64542007446289,26.62603497505188,924647,001,2024-04-15_14h25.21.160,run_experiment,2023.2.3,59.973204187238956,2024-04-15 14h25.37.829144 +0200,
X,target,26.0,0-back,0.15,2.8,left,0,17,17,17,26.64542007446289,,26.6267991065979,26.64542007446289,29.459257125854492,29.439990043640137,924647,001,2024-04-15_14h25.21.160,run_experiment,2023.2.3,59.973204187238956,2024-04-15 14h25.37.829144 +0200,
+,fixation,28.8,0-back,0.05,0.2,None,0,18,18,18,29.459257125854492,,29.4407160282135,29.459257125854492,29.674224138259888,29.656162977218628,924647,001,2024-04-15_14h25.21.160,run_experiment,2023.2.3,59.973204187238956,2024-04-15 14h25.37.829144 +0200,
X,target,29.0,0-back,0.15,2.8,left,0,19,19,19,29.674224138259888,,29.656877040863037,29.674224138259888,32.49580407142639,32.471511125564575,924647,001,2024-04-15_14h25.21.160,run_experiment,2023.2.3,59.973204187238956,2024-04-15 14h25.37.829144 +0200,
,,,,,,,,,,,32.49580407142639,,32.472455978393555,32.49580407142639,,,,,,,,,,
