stimuli,trial_type,stimulus_onset,block_type,stimulus_size,stimulus_duration,cor_res,experiment.thisRepN,experiment.thisTrialN,experiment.thisN,experiment.thisIndex,thisRow.t,notes,trial.started,Stimuli.started,Stimuli.stopped,trial.stopped,participant,session,date,expName,psychopyVersion,frameRate,expStart,
png,cue,0.0,cue,0.15,2.0,None,0,0,0,0,0.33619213104248047,,0.03627204895019531,0.33619213104248047,2.3497540950775146,2.3289990425109863,924647,001,2024-04-15_14h25.21.160,run_experiment,2023.2.3,59.973204187238956,2024-04-15 14h25.37.829144 +0200,
H,non-target,2.0,0-back,0.15,2.8,right,0,1,1,1,2.3497540950775146,,2.329900026321411,2.3497540950775146,5.224087953567505,5.143164157867432,924647,001,2024-04-15_14h25.21.160,run_experiment,2023.2.3,59.973204187238956,2024-04-15 14h25.37.829144 +0200,
+,fixation,4.8,0-back,0.05,0.2,None,0,2,2,2,5.224087953567505,,5.143953084945679,5.224087953567505,5.430814027786255,5.409947156906128,924647,001,2024-04-15_14h25.21.160,run_experiment,2023.2.3,59.973204187238956,2024-04-15 14h25.37.829144 +0200,
X,target,5.0,0-back,0.15,2.8,left,0,3,3,3,5.430814027786255,,5.41077995300293,5.430814027786255,8.24605107307434,8.22388505935669,924647,001,2024-04-15_14h25.21.160,run_experiment,2023.2.3,59.973204187238956,2024-04-15 14h25.37.829144 +0200,
+,fixation,7.8,0-back,0.05,0.2,None,0,4,4,4,8.24605107307434,,8.224730014801025,8.24605107307434,8.461995124816895,8.44030213356018,924647,001,2024-04-15_14h25.21.160,run_experiment,2023.2.3,59.973204187238956,2024-04-15 14h25.37.829144 +0200,
T,non-target,8.0,0-back,0.15,2.8,right,0,5,5,5,8.461995124816895,,8.441200017929077,8.461995124816895,11.276641130447388,11.25473403930664,924647,001,2024-04-15_14h25.21.160,run_experiment,2023.2.3,59.973204187238956,2024-04-15 14h25.37.829144 +0200,
+,fixation,10.8,0-back,0.05,0.2,None,0,6,6,6,11.276641130447388,,11.255553007125854,11.276641130447388,11.491697072982788,11.47106409072876,924647,001,2024-04-15_14h25.21.160,run_experiment,2023.2.3,59.973204187238956,2024-04-15 14h25.37.829144 +0200,
E,non-target,11.0,0-back,0.15,2.8,right,0,7,7,7,11.491697072982788,,11.471882104873657,11.491697072982788,14.306849002838135,14.28562307357788,924647,001,2024-04-15_14h25.21.160,run_experiment,2023.2.3,59.973204187238956,2024-04-15 14h25.37.829144 +0200,
+,fixation,13.8,0-back,0.05,0.2,None,0,8,8,8,14.306849002838135,,14.286409139633179,14.306849002838135,14.521424055099487,14.502081155776978,924647,001,2024-04-15_14h25.21.160,run_experiment,2023.2.3,59.973204187238956,2024-04-15 14h25.37.829144 +0200,
X,target,14.0,0-back,0.15,2.8,left,0,9,9,9,14.521424055099487,,14.50287413597107,14.521424055099487,17.340389013290405,17.316745042800903,924647,001,2024-04-15_14h25.21.160,run_experiment,2023.2.3,59.973204187238956,2024-04-15 14h25.37.829144 +0200,
