stimuli,trial_type,stimulus_onset,block_type,stimulus_size,stimulus_color,stimulus_duration,cor_res,experiment.thisRepN,experiment.thisTrialN,experiment.thisN,experiment.thisIndex,thisRow.t,notes,trial.started,Stimuli.started,Stimuli.stopped,trial.stopped,participant,session,date,expName,psychopyVersion,frameRate,expStart,
T,non-target,20.0,0-back,0.15,white,2.8,right,0,13,13,13,20.62006688117981,,20.59821605682373,20.62006688117981,23.436588048934937,23.41175603866577,646917,001,2024-04-15_14h42.16.245,run_experiment,2023.2.3,59.93155666436618,2024-04-15 14h42.29.683426 +0200,
+,fixation,22.8,0-back,0.05,white,0.2,None,0,14,14,14,23.436588048934937,,23.412726879119873,23.436588048934937,23.651376962661743,23.6279559135437,646917,001,2024-04-15_14h42.16.245,run_experiment,2023.2.3,59.93155666436618,2024-04-15 14h42.29.683426 +0200,
H,non-target,23.0,0-back,0.15,white,2.8,right,0,15,15,15,23.651376962661743,,23.628830909729004,23.651376962661743,26.466454029083252,26.442356824874878,646917,001,2024-04-15_14h42.16.245,run_experiment,2023.2.3,59.93155666436618,2024-04-15 14h42.29.683426 +0200,
+,fixation,25.8,0-back,0.05,white,0.2,None,0,16,16,16,26.466454029083252,,26.443233966827393,26.466454029083252,26.681607007980347,26.658918857574463,646917,001,2024-04-15_14h42.16.245,run_experiment,2023.2.3,59.93155666436618,2024-04-15 14h42.29.683426 +0200,
X,target,26.0,0-back,0.15,white,2.8,left,0,17,17,17,26.681607007980347,,26.65986204147339,26.681607007980347,29.497175931930542,29.473315000534058,646917,001,2024-04-15_14h42.16.245,run_experiment,2023.2.3,59.93155666436618,2024-04-15 14h42.29.683426 +0200,
+,fixation,28.8,0-back,0.05,white,0.2,None,0,18,18,18,29.497175931930542,,29.474220037460327,29.497175931930542,29.712159872055054,29.689673900604248,646917,001,2024-04-15_14h42.16.245,run_experiment,2023.2.3,59.93155666436618,2024-04-15 14h42.29.683426 +0200,
X,target,29.0,0-back,0.15,white,2.8,left,0,19,19,19,29.712159872055054,,29.69058585166931,29.712159872055054,32.53661894798279,32.50317883491516,646917,001,2024-04-15_14h42.16.245,run_experiment,2023.2.3,59.93155666436618,2024-04-15 14h42.29.683426 +0200,
+,rest,31.8,rest,0.05,white,10.0,None,0,20,20,20,32.53661894798279,,32.504530906677246,32.53661894798279,42.55259299278259,42.52860498428345,646917,001,2024-04-15_14h42.16.245,run_experiment,2023.2.3,59.93155666436618,2024-04-15 14h42.29.683426 +0200,
png,cue,41.8,1-back,0.15,blue,2.0,None,0,21,21,21,42.55259299278259,,42.529377937316895,42.55259299278259,44.56397604942322,44.543975830078125,646917,001,2024-04-15_14h42.16.245,run_experiment,2023.2.3,59.93155666436618,2024-04-15 14h42.29.683426 +0200,
P,non-target,43.8,1-back,0.15,white,2.8,right,0,22,22,22,44.56397604942322,,44.544846057891846,44.56397604942322,47.381738901138306,47.35816192626953,646917,001,2024-04-15_14h42.16.245,run_experiment,2023.2.3,59.93155666436618,2024-04-15 14h42.29.683426 +0200,
+,fixation,46.6,1-back,0.05,white,0.2,None,0,23,23,23,47.381738901138306,,47.35905599594116,47.381738901138306,47.596813917160034,47.574365854263306,646917,001,2024-04-15_14h42.16.245,run_experiment,2023.2.3,59.93155666436618,2024-04-15 14h42.29.683426 +0200,
P,target,46.8,1-back,0.15,white,2.8,left,0,24,24,24,47.596813917160034,,47.57523584365845,47.596813917160034,50.40971493721008,50.388668060302734,646917,001,2024-04-15_14h42.16.245,run_experiment,2023.2.3,59.93155666436618,2024-04-15 14h42.29.683426 +0200,
+,fixation,49.6,1-back,0.05,white,0.2,None,0,25,25,25,50.40971493721008,,50.38943099975586,50.40971493721008,50.625113010406494,50.605106830596924,646917,001,2024-04-15_14h42.16.245,run_experiment,2023.2.3,59.93155666436618,2024-04-15 14h42.29.683426 +0200,
P,target,49.8,1-back,0.15,white,2.8,left,0,26,26,26,50.625113010406494,,50.60589385032654,50.625113010406494,53.447824001312256,53.4201500415802,646917,001,2024-04-15_14h42.16.245,run_experiment,2023.2.3,59.93155666436618,2024-04-15 14h42.29.683426 +0200,
+,fixation,52.6,1-back,0.05,white,0.2,None,0,27,27,27,53.447824001312256,,53.42104482650757,53.447824001312256,53.65879988670349,53.63641691207886,646917,001,2024-04-15_14h42.16.245,run_experiment,2023.2.3,59.93155666436618,2024-04-15 14h42.29.683426 +0200,
P,target,52.8,1-back,0.15,white,2.8,left,0,28,28,28,53.65879988670349,,53.63728094100952,53.65879988670349,56.472285985946655,56.4500470161438,646917,001,2024-04-15_14h42.16.245,run_experiment,2023.2.3,59.93155666436618,2024-04-15 14h42.29.683426 +0200,
+,fixation,55.6,1-back,0.05,white,0.2,None,0,29,29,29,56.472285985946655,,56.4508318901062,56.472285985946655,56.6877498626709,56.666770935058594,646917,001,2024-04-15_14h42.16.245,run_experiment,2023.2.3,59.93155666436618,2024-04-15 14h42.29.683426 +0200,
Q,non-target,55.8,1-back,0.15,white,2.8,right,0,30,30,30,56.6877498626709,,56.66753888130188,56.6877498626709,59.50287199020386,59.48111295700073,646917,001,2024-04-15_14h42.16.245,run_experiment,2023.2.3,59.93155666436618,2024-04-15 14h42.29.683426 +0200,
+,fixation,58.6,1-back,0.05,white,0.2,None,0,31,31,31,59.50287199020386,,59.481919050216675,59.50287199020386,59.71912884712219,59.69765901565552,646917,001,2024-04-15_14h42.16.245,run_experiment,2023.2.3,59.93155666436618,2024-04-15 14h42.29.683426 +0200,
H,non-target,58.8,1-back,0.15,white,2.8,right,0,32,32,32,59.71912884712219,,59.698511838912964,59.71912884712219,62.540284872055054,62.51311683654785,646917,001,2024-04-15_14h42.16.245,run_experiment,2023.2.3,59.93155666436618,2024-04-15 14h42.29.683426 +0200,
+,fixation,61.6,1-back,0.05,white,0.2,None,0,33,33,33,62.540284872055054,,62.51467490196228,62.540284872055054,62.75136399269104,62.72903299331665,646917,001,2024-04-15_14h42.16.245,run_experiment,2023.2.3,59.93155666436618,2024-04-15 14h42.29.683426 +0200,
H,target,61.8,1-back,0.15,white,2.8,left,0,34,34,34,62.75136399269104,,62.72996783256531,62.75136399269104,65.56682801246643,65.54305982589722,646917,001,2024-04-15_14h42.16.245,run_experiment,2023.2.3,59.93155666436618,2024-04-15 14h42.29.683426 +0200,
+,fixation,64.6,1-back,0.05,white,0.2,None,0,35,35,35,65.56682801246643,,65.54395794868469,65.56682801246643,65.78396391868591,65.75979804992676,646917,001,2024-04-15_14h42.16.245,run_experiment,2023.2.3,59.93155666436618,2024-04-15 14h42.29.683426 +0200,
Q,non-target,64.8,1-back,0.15,white,2.8,right,0,36,36,36,65.78396391868591,,65.76074600219727,65.78396391868591,68.59882402420044,68.57382082939148,646917,001,2024-04-15_14h42.16.245,run_experiment,2023.2.3,59.93155666436618,2024-04-15 14h42.29.683426 +0200,
+,fixation,67.6,1-back,0.05,white,0.2,None,0,37,37,37,68.59882402420044,,68.5747480392456,68.59882402420044,68.81504988670349,68.79043483734131,646917,001,2024-04-15_14h42.16.245,run_experiment,2023.2.3,59.93155666436618,2024-04-15 14h42.29.683426 +0200,
Q,target,67.8,1-back,0.15,white,2.8,left,0,38,38,38,68.81504988670349,,68.79143285751343,68.81504988670349,71.62891292572021,71.60424494743347,646917,001,2024-04-15_14h42.16.245,run_experiment,2023.2.3,59.93155666436618,2024-04-15 14h42.29.683426 +0200,
+,fixation,70.6,1-back,0.05,white,0.2,None,0,39,39,39,71.62891292572021,,71.60500693321228,71.62891292572021,71.84266996383667,71.8209068775177,646917,001,2024-04-15_14h42.16.245,run_experiment,2023.2.3,59.93155666436618,2024-04-15 14h42.29.683426 +0200,
T,non-target,70.8,1-back,0.15,white,2.8,right,0,40,40,40,71.84266996383667,,71.82171893119812,71.84266996383667,74.6575858592987,74.63550186157227,646917,001,2024-04-15_14h42.16.245,run_experiment,2023.2.3,59.93155666436618,2024-04-15 14h42.29.683426 +0200,
+,rest,73.6,rest,0.05,white,10.0,None,0,41,41,41,74.6575858592987,,74.63631892204285,74.6575858592987,84.66968703269958,84.64402794837952,646917,001,2024-04-15_14h42.16.245,run_experiment,2023.2.3,59.93155666436618,2024-04-15 14h42.29.683426 +0200,
,,,,,,,,,,,,84.66968703269958,,84.64491391181946,84.66968703269958,,,,,,,,,,
