stimuli,trial_type,stimulus_onset,block_type,stimulus_size,stimulus_color,stimulus_duration,cor_res,experiment.thisRepN,experiment.thisTrialN,experiment.thisN,experiment.thisIndex,thisRow.t,notes,trial.started,Stimuli.started,Stimuli.stopped,trial.stopped,participant,session,date,expName,psychopyVersion,frameRate,expStart,
png,cue,0.0,0-back,0.15,red,2.0,None,0,0,0,0,0.35529088973999023,,0.0371088981628418,0.35529088973999023,2.367917060852051,2.3455429077148438,646917,001,2024-04-15_14h42.16.245,run_experiment,2023.2.3,59.93155666436618,2024-04-15 14h42.29.683426 +0200,
X,target,2.0,0-back,0.15,white,2.8,left,0,1,1,1,2.367917060852051,,2.3465518951416016,2.367917060852051,5.25294303894043,5.1602699756622314,646917,001,2024-04-15_14h42.16.245,run_experiment,2023.2.3,59.93155666436618,2024-04-15 14h42.29.683426 +0200,
+,fixation,4.8,0-back,0.05,white,0.2,None,0,2,2,2,5.25294303894043,,5.1612420082092285,5.25294303894043,5.467325925827026,5.443317890167236,646917,001,2024-04-15_14h42.16.245,run_experiment,2023.2.3,59.93155666436618,2024-04-15 14h42.29.683426 +0200,
U,non-target,5.0,0-back,0.15,white,2.8,right,0,3,3,3,5.467325925827026,,5.444296836853027,5.467325925827026,8.28157091140747,8.257431030273438,646917,001,2024-04-15_14h42.16.245,run_experiment,2023.2.3,59.93155666436618,2024-04-15 14h42.29.683426 +0200,
+,fixation,7.8,0-back,0.05,white,0.2,None,0,4,4,4,8.28157091140747,,8.25846004486084,8.28157091140747,8.497743844985962,8.473958015441895,646917,001,2024-04-15_14h42.16.245,run_experiment,2023.2.3,59.93155666436618,2024-04-15 14h42.29.683426 +0200,
U,non-target,8.0,0-back,0.15,white,2.8,right,0,5,5,5,8.497743844985962,,8.474931955337524,8.497743844985962,11.313151836395264,11.288480997085571,646917,001,2024-04-15_14h42.16.245,run_experiment,2023.2.3,59.93155666436618,2024-04-15 14h42.29.683426 +0200,
+,fixation,10.8,0-back,0.05,white,0.2,None,0,6,6,6,11.313151836395264,,11.289434909820557,11.313151836395264,11.528668880462646,11.504968881607056,646917,001,2024-04-15_14h42.16.245,run_experiment,2023.2.3,59.93155666436618,2024-04-15 14h42.29.683426 +0200,
X,target,11.0,0-back,0.15,white,2.8,left,0,7,7,7,11.528668880462646,,11.505924940109253,11.528668880462646,14.344742059707642,14.319244861602783,646917,001,2024-04-15_14h42.16.245,run_experiment,2023.2.3,59.93155666436618,2024-04-15 14h42.29.683426 +0200,
+,fixation,13.8,0-back,0.05,white,0.2,None,0,8,8,8,14.344742059707642,,14.320191860198975,14.344742059707642,14.55883002281189,14.535819053649902,646917,001,2024-04-15_14h42.16.245,run_experiment,2023.2.3,59.93155666436618,2024-04-15 14h42.29.683426 +0200,
E,non-target,14.0,0-back,0.15,white,2.8,right,0,9,9,9,14.55883002281189,,14.536768913269043,14.55883002281189,17.375079870224,17.350173950195312,646917,001,2024-04-15_14h42.16.245,run_experiment,2023.2.3,59.93155666436618,2024-04-15 14h42.29.683426 +0200,
+,fixation,16.8,0-back,0.05,white,0.2,None,0,10,10,10,17.375079870224,,17.351124048233032,17.375079870224,17.589789867401123,17.566438913345337,646917,001,2024-04-15_14h42.16.245,run_experiment,2023.2.3,59.93155666436618,2024-04-15 14h42.29.683426 +0200,
X,target,17.0,0-back,0.15,white,2.8,left,0,11,11,11,17.589789867401123,,17.567389011383057,17.589789867401123,20.405720949172974,20.38099503517151,646917,001,2024-04-15_14h42.16.245,run_experiment,2023.2.3,59.93155666436618,2024-04-15 14h42.29.683426 +0200,
+,fixation,19.8,0-back,0.05,white,0.2,None,0,12,12,12,20.405720949172974,,20.38200283050537,20.405720949172974,20.62006688117981,20.597285985946655,646917,001,2024-04-15_14h42.16.245,run_experiment,2023.2.3,59.93155666436618,2024-04-15 14h42.29.683426 +0200,
