8.2816 	EXP 	Stimuli: height = 0.15
8.2816 	EXP 	Stimuli: height = 0.15
8.2816 	EXP 	Stimuli: height = 0.15
8.2816 	EXP 	Stimuli: text = '+'
8.2816 	EXP 	Stimuli: height = 0.05
8.2816 	EXP 	Stimuli: autoDraw = True
8.2816 	EXP 	Stimuli: height = 0.05
8.2816 	EXP 	Stimuli: height = 0.05
8.2816 	EXP 	Stimuli: height = 0.05
8.2816 	EXP 	Stimuli: text = '+'
8.4749 	EXP 	New trial (rep=0, index=5): OrderedDict([('stimuli', 'U'), ('trial_type', 'non-target'), ('stimulus_onset', 8.0), ('block_type', '0-back'), ('stimulus_size', 0.15), ('stimulus_color', 'white'), ('stimulus_duration', 2.8), ('cor_res', 'right')])
8.4977 	EXP 	Stimuli: autoDraw = False
8.4977 	EXP 	Stimuli: autoDraw = False
8.4977 	EXP 	Stimuli: foreColor = <psychopy.colors.Color: white, alpha=1.0>
8.4977 	EXP 	Stimuli: height = 0.05
8.4977 	EXP 	Stimuli: height = 0.05
8.4977 	EXP 	Stimuli: height = 0.05
8.4977 	EXP 	Stimuli: text = 'U'
8.4977 	EXP 	Stimuli: height = 0.15
8.4977 	EXP 	Stimuli: autoDraw = True
8.4977 	EXP 	Stimuli: height = 0.15
8.4977 	EXP 	Stimuli: height = 0.15
8.4977 	EXP 	Stimuli: height = 0.15
8.4977 	EXP 	Stimuli: text = 'U'
11.2894 	EXP 	New trial (rep=0, index=6): OrderedDict([('stimuli', '+'), ('trial_type', 'fixation'), ('stimulus_onset', 10.8), ('block_type', '0-back'), ('stimulus_size', 0.05), ('stimulus_color', 'white'), ('stimulus_duration', 0.2), ('cor_res', None)])
11.3132 	EXP 	Stimuli: autoDraw = False
11.3132 	EXP 	Stimuli: autoDraw = False
11.3132 	EXP 	Stimuli: foreColor = <psychopy.colors.Color: white, alpha=1.0>
11.3132 	EXP 	Stimuli: height = 0.15
11.3132 	EXP 	Stimuli: height = 0.15
11.3132 	EXP 	Stimuli: height = 0.15
11.3132 	EXP 	Stimuli: text = '+'
11.3132 	EXP 	Stimuli: height = 0.05
11.3132 	EXP 	Stimuli: autoDraw = True
11.3132 	EXP 	Stimuli: height = 0.05
11.3132 	EXP 	Stimuli: height = 0.05
11.3132 	EXP 	Stimuli: height = 0.05
11.3132 	EXP 	Stimuli: text = '+'
11.5059 	EXP 	New trial (rep=0, index=7): OrderedDict([('stimuli', 'X'), ('trial_type', 'target'), ('stimulus_onset', 11.0), ('block_type', '0-back'), ('stimulus_size', 0.15), ('stimulus_color', 'white'), ('stimulus_duration', 2.8), ('cor_res', 'left')])
11.5287 	EXP 	Stimuli: autoDraw = False
11.5287 	EXP 	Stimuli: autoDraw = False
11.5287 	EXP 	Stimuli: foreColor = <psychopy.colors.Color: white, alpha=1.0>
11.5287 	EXP 	Stimuli: height = 0.05
11.5287 	EXP 	Stimuli: height = 0.05
11.5287 	EXP 	Stimuli: height = 0.05
11.5287 	EXP 	Stimuli: text = 'X'
11.5287 	EXP 	Stimuli: height = 0.15
11.5287 	EXP 	Stimuli: autoDraw = True
11.5287 	EXP 	Stimuli: height = 0.15
11.5287 	EXP 	Stimuli: height = 0.15
11.5287 	EXP 	Stimuli: height = 0.15
11.5287 	EXP 	Stimuli: text = 'X'
